Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект дома №40-04BYA: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04BYA.jpg,Проекты домов с визуализациями,,"Проект дома №40-04BYA. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 160,31 м²; 2 этажа; габариты 9.6×10 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04BYA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4922_40-04bya_estimate&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 40-04BYA, проект №40-04BYA, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 160,31 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04BZA: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04BZA.jpg,Европейские дома,,"Проект дома №40-04BZA. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 135,94 м²; 2 этажа; габариты 9.4×9.9 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04BZA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4923_40-04bza_changes&utm_term=evropeyskie-doma,,"проект дома 40-04BZA, проект №40-04BZA, Европейские дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 135,94 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04CB: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04CB.jpg,Дома из газобетона,,"Проект дома №40-04CB. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 202,81 м²; 2 этажа; габариты 9.5×10 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04CB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4924_40-04cb_plans&utm_term=doma-iz-gazobetona,,"проект дома 40-04CB, проект №40-04CB, Дома из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 202,81 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект дома №40-04D: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04D.jpg,Дома до 150 м²,,"Проект дома №40-04D. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 132,77 м²; 2 этажа; габариты 9×9.5 м; стены — керамзитобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04D?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4925_40-04d_compare&utm_term=doma-do-150-m,,"проект дома 40-04D, проект №40-04D, Дома до 150 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,77 м², дом керамзитобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04DFABL: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04DFABL.jpg,Готовые проекты домов,,"Проект дома №40-04DFABL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 150,95 м²; 2 этажа; габариты 10.4×10.8 м; стены — монолитный каркас; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04DFABL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4926_40-04dfabl_site&utm_term=gotovye-proekty-domov,,"проект дома 40-04DFABL, проект №40-04DFABL, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 150,95 м², дом монолитный каркас, дом европейский, catalog-plans.ru"
Проект дома №40-04F: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04F.jpg,Фасады домов,,"Проект дома №40-04F. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 170,9 м²; 2 этажа; габариты 9.5×15.45 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04F?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4927_40-04f_facades&utm_term=fasady-domov,,"проект дома 40-04F, проект №40-04F, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 170,9 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04FBW: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04FBW.jpg,Готовые проекты домов,,"Проект дома №40-04FBW. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 185,32 м²; 2 этажа; габариты 16.9×13.1 м; стены — газобетон; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04FBW?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4928_40-04fbw_estimate&utm_term=gotovye-proekty-domov,,"проект дома 40-04FBW, проект №40-04FBW, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 185,32 м², дом газобетон, дом хай-тек, catalog-plans.ru"
Проект дома №40-04FDC: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04FDC.jpg,Дома из газобетона,,"Проект дома №40-04FDC. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 280,26 м²; 2 этажа; габариты 9.5×15 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04FDC?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4929_40-04fdc_changes&utm_term=doma-iz-gazobetona,,"проект дома 40-04FDC, проект №40-04FDC, Дома из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 280,26 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04G: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04G.jpg,Дома до 150 м²,,"Проект дома №40-04G. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 126,88 м²; 2 этажа; габариты 9.4×9.9 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4930_40-04g_plans&utm_term=doma-do-150-m,,"проект дома 40-04G, проект №40-04G, Дома до 150 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 126,88 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект дома №40-04H: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04H.jpg,Дома до 150 м²,,"Проект дома №40-04H. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 132,44 м²; 2 этажа; габариты 9.5×10 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04H?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4931_40-04h_compare&utm_term=doma-do-150-m,,"проект дома 40-04H, проект №40-04H, Дома до 150 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,44 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04HABL: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04HABL.jpg,Готовые проекты домов,,"Проект дома №40-04HABL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 134,88 м²; 2 этажа; габариты 9.8×10.3 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04HABL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4932_40-04habl_site&utm_term=gotovye-proekty-domov,,"проект дома 40-04HABL, проект №40-04HABL, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,88 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04HAZL: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04HAZL.jpg,Готовые проекты домов,,"Проект дома №40-04HAZL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 134,4 м²; 2 этажа; габариты 9.8×10.3 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04HAZL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4933_40-04hazl_facades&utm_term=gotovye-proekty-domov,,"проект дома 40-04HAZL, проект №40-04HAZL, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,4 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04HB: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04HB.jpg,Европейские дома,,"Проект дома №40-04HB. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 131,94 м²; 2 этажа; габариты 9.5×10 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04HB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4934_40-04hb_estimate&utm_term=evropeyskie-doma,,"проект дома 40-04HB, проект №40-04HB, Европейские дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 131,94 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04KL1: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04KL1.jpg,Кирпичные дома,,"Проект дома №40-04KL1. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 131,85 м²; 2 этажа; габариты 9.62×10.12 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04KL1?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4935_40-04kl1_changes&utm_term=kirpichnye-doma,,"проект дома 40-04KL1, проект №40-04KL1, Кирпичные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 131,85 м², дом кирпич, дом европейский, catalog-plans.ru"
Проект дома №40-04L: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04L.jpg,Двухэтажные дома,,"Проект дома №40-04L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 131,85 м²; 2 этажа; габариты 9.88×10.38 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4936_40-04l_plans&utm_term=dvuhetazhnye-doma,,"проект дома 40-04L, проект №40-04L, Двухэтажные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 131,85 м², дом кирпич, дом европейский, catalog-plans.ru"
"Проект дома №40-04N: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04N.jpg,Фасады домов,,"Проект дома №40-04N. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 134,01 м²; 2 этажа; габариты 9.4×9.9 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04N?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4937_40-04n_compare&utm_term=fasady-domov,,"проект дома 40-04N, проект №40-04N, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,01 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04PAK1L: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04PAK1L.jpg,Европейские дома,,"Проект дома №40-04PAK1L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 145,56 м²; 2 этажа; габариты 10.06×10.06 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04PAK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4938_40-04pak1l_site&utm_term=evropeyskie-doma,,"проект дома 40-04PAK1L, проект №40-04PAK1L, Европейские дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 145,56 м², дом кирпич, дом европейский, catalog-plans.ru"
Проект дома №40-04PBG: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04PBG.jpg,Дома из газобетона,,"Проект дома №40-04PBG. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 136 м²; 2 этажа; габариты 9.4×9.9 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04PBG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4939_40-04pbg_facades&utm_term=doma-iz-gazobetona,,"проект дома 40-04PBG, проект №40-04PBG, Дома из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 136 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04PBK2L: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04PBK2L.jpg,Проекты домов с визуализациями,,"Проект дома №40-04PBK2L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 136,81 м²; 2 этажа; габариты 9.78×10.28 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04PBK2L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4940_40-04pbk2l_estimate&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 40-04PBK2L, проект №40-04PBK2L, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 136,81 м², дом кирпич, дом европейский, catalog-plans.ru"
Проект дома №40-04RGL: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04RGL.jpg,Дома из газобетона,,"Проект дома №40-04RGL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 137,48 м²; 2 этажа; габариты 10×10 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04RGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4941_40-04rgl_changes&utm_term=doma-iz-gazobetona,,"проект дома 40-04RGL, проект №40-04RGL, Дома из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 137,48 м², дом газобетон, дом европейский, catalog-plans.ru"
